Jugador,ID,Total Pueblos,OFFs FULL,OFFs MEDIA,Total Hachas,Total Ligeras,Total Arq.Caballo,Total Arietes,Total Catapultas,Pob. Ofensiva Total
StormBreaker,1915106,8,1,0,7818,3137,240,753,100,26131
,FULL,ZzZ (452|504) C54,,4526,1962,240,380,100,16274
GalindoDev,1660298,16,0,3,21212,8288,1155,2394,250,74109
,MEDIA,ZzZ (445|518) C54,,3436,1316,220,374,50,12070
,MEDIA,ZzZ (447|521) C54,,4790,1800,300,400,50,15890
,MEDIA,ZzZ (444|521) C54,,3766,1505,254,373,50,13321
sirboston,819682,23,0,1,18417,8584,529,1192,717,67094
,MEDIA,Bollito NauST (449|525) C54,,3809,1876,138,222,39,13425
Electro814,2015768,13,0,0,0,2,0,0,0,8
Hunaku,2173766,4,0,0,962,1580,0,89,0,7727
Ortegaanto,1941371,7,0,0,1943,1098,0,201,10,7420
Saly,1385666,15,0,0,10410,4360,540,684,141,35098
